index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,380,380,1,1,1,3,380,380,0
2,Conv2D,3,380,380,2,3,3,48,190,190,46785600
3,Sigmoid,48,190,190,1,1,1,48,190,190,0
4,Mul,48,190,190,1,1,1,48,190,190,0
5,DepthwiseConv2D,48,190,190,1,3,3,48,190,190,15595200
6,Sigmoid,48,190,190,1,1,1,48,190,190,0
7,Mul,48,190,190,1,1,1,48,190,190,0
8,Mean,48,190,190,1,1,1,48,1,1,0
9,Conv2D,48,1,1,1,1,1,12,1,1,576
10,Sigmoid,12,1,1,1,1,1,12,1,1,0
11,Mul,12,1,1,1,1,1,12,1,1,0
12,Conv2D,12,1,1,1,1,1,48,1,1,576
13,Sigmoid,48,1,1,1,1,1,48,1,1,0
14,Mul,48,1,1,1,1,1,48,190,190,0
15,Conv2D,48,190,190,1,1,1,24,190,190,41587200
16,DepthwiseConv2D,24,190,190,1,3,3,24,190,190,7797600
17,Sigmoid,24,190,190,1,1,1,24,190,190,0
18,Mul,24,190,190,1,1,1,24,190,190,0
19,Mean,24,190,190,1,1,1,24,1,1,0
20,Conv2D,24,1,1,1,1,1,6,1,1,144
21,Sigmoid,6,1,1,1,1,1,6,1,1,0
22,Mul,6,1,1,1,1,1,6,1,1,0
23,Conv2D,6,1,1,1,1,1,24,1,1,144
24,Sigmoid,24,1,1,1,1,1,24,1,1,0
25,Mul,24,1,1,1,1,1,24,190,190,0
26,Conv2D,24,190,190,1,1,1,24,190,190,20793600
27,Shortcut,24,190,190,1,0,0,24,190,190,866400
28,Conv2D,24,190,190,1,1,1,144,190,190,124761600
29,Sigmoid,144,190,190,1,1,1,144,190,190,0
30,Mul,144,190,190,1,1,1,144,190,190,0
31,DepthwiseConv2D,144,190,190,2,3,3,144,95,95,11696400
32,Sigmoid,144,95,95,1,1,1,144,95,95,0
33,Mul,144,95,95,1,1,1,144,95,95,0
34,Mean,144,95,95,1,1,1,144,1,1,0
35,Conv2D,144,1,1,1,1,1,6,1,1,864
36,Sigmoid,6,1,1,1,1,1,6,1,1,0
37,Mul,6,1,1,1,1,1,6,1,1,0
38,Conv2D,6,1,1,1,1,1,144,1,1,864
39,Sigmoid,144,1,1,1,1,1,144,1,1,0
40,Mul,144,1,1,1,1,1,144,95,95,0
41,Conv2D,144,95,95,1,1,1,32,95,95,41587200
42,Conv2D,32,95,95,1,1,1,192,95,95,55449600
43,Sigmoid,192,95,95,1,1,1,192,95,95,0
44,Mul,192,95,95,1,1,1,192,95,95,0
45,DepthwiseConv2D,192,95,95,1,3,3,192,95,95,15595200
46,Sigmoid,192,95,95,1,1,1,192,95,95,0
47,Mul,192,95,95,1,1,1,192,95,95,0
48,Mean,192,95,95,1,1,1,192,1,1,0
49,Conv2D,192,1,1,1,1,1,8,1,1,1536
50,Sigmoid,8,1,1,1,1,1,8,1,1,0
51,Mul,8,1,1,1,1,1,8,1,1,0
52,Conv2D,8,1,1,1,1,1,192,1,1,1536
53,Sigmoid,192,1,1,1,1,1,192,1,1,0
54,Mul,192,1,1,1,1,1,192,95,95,0
55,Conv2D,192,95,95,1,1,1,32,95,95,55449600
56,Shortcut,32,95,95,1,0,0,32,95,95,288800
57,Conv2D,32,95,95,1,1,1,192,95,95,55449600
58,Sigmoid,192,95,95,1,1,1,192,95,95,0
59,Mul,192,95,95,1,1,1,192,95,95,0
60,DepthwiseConv2D,192,95,95,1,3,3,192,95,95,15595200
61,Sigmoid,192,95,95,1,1,1,192,95,95,0
62,Mul,192,95,95,1,1,1,192,95,95,0
63,Mean,192,95,95,1,1,1,192,1,1,0
64,Conv2D,192,1,1,1,1,1,8,1,1,1536
65,Sigmoid,8,1,1,1,1,1,8,1,1,0
66,Mul,8,1,1,1,1,1,8,1,1,0
67,Conv2D,8,1,1,1,1,1,192,1,1,1536
68,Sigmoid,192,1,1,1,1,1,192,1,1,0
69,Mul,192,1,1,1,1,1,192,95,95,0
