index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,346,346,1,1,1,3,346,346,0
2,Conv2D,3,346,346,2,3,3,32,172,172,25560576
3,Conv2D,32,172,172,1,3,3,32,170,170,266342400
4,Conv2D,32,170,170,1,3,3,64,170,170,532684800
5,MaxPool2D,64,170,170,2,3,3,64,84,84,0
6,Conv2D,64,84,84,1,1,1,80,84,84,36126720
7,Conv2D,80,84,84,1,3,3,192,82,82,929525760
8,MaxPool2D,192,82,82,2,3,3,192,40,40,0
9,Conv2D,192,40,40,1,1,1,64,40,40,19660800
10,Conv2D,192,40,40,1,1,1,48,40,40,14745600
11,Conv2D,48,40,40,1,5,5,64,40,40,122880000
12,Conv2D,192,40,40,1,1,1,64,40,40,19660800
13,Conv2D,64,40,40,1,3,3,96,40,40,88473600
14,Conv2D,96,40,40,1,3,3,96,40,40,132710400
15,AveragePool2D,192,40,40,1,3,3,192,40,40,0
16,Conv2D,192,40,40,1,1,1,32,40,40,9830400
17,Concat,64,40,40,1,1,1,256,40,40,0
18,Conv2D,256,40,40,1,1,1,64,40,40,26214400
19,Conv2D,256,40,40,1,1,1,48,40,40,19660800
20,Conv2D,48,40,40,1,5,5,64,40,40,122880000
21,Conv2D,256,40,40,1,1,1,64,40,40,26214400
22,Conv2D,64,40,40,1,3,3,96,40,40,88473600
23,Conv2D,96,40,40,1,3,3,96,40,40,132710400
24,AveragePool2D,256,40,40,1,3,3,256,40,40,0
25,Conv2D,256,40,40,1,1,1,64,40,40,26214400
26,Concat,64,40,40,1,1,1,288,40,40,0
27,Conv2D,288,40,40,1,1,1,64,40,40,29491200
28,Conv2D,288,40,40,1,1,1,48,40,40,22118400
29,Conv2D,48,40,40,1,5,5,64,40,40,122880000
30,Conv2D,288,40,40,1,1,1,64,40,40,29491200
31,Conv2D,64,40,40,1,3,3,96,40,40,88473600
32,Conv2D,96,40,40,1,3,3,96,40,40,132710400
33,AveragePool2D,288,40,40,1,3,3,288,40,40,0
34,Conv2D,288,40,40,1,1,1,64,40,40,29491200
35,Concat,64,40,40,1,1,1,288,40,40,0
36,Conv2D,288,40,40,2,3,3,384,19,19,359313408
37,Conv2D,288,40,40,1,1,1,64,40,40,29491200
38,Conv2D,64,40,40,1,3,3,96,40,40,88473600
39,Conv2D,96,40,40,2,3,3,96,19,19,29942784
40,MaxPool2D,288,40,40,2,3,3,288,19,19,0
41,Concat,384,19,19,1,1,1,768,19,19,0
42,Conv2D,768,19,19,1,1,1,192,19,19,53231616
43,Conv2D,768,19,19,1,1,1,128,19,19,35487744
44,Conv2D,128,19,19,1,1,1,128,19,19,5914624
45,Conv2D,128,19,19,1,7,7,192,19,19,434724864
46,Conv2D,768,19,19,1,1,1,128,19,19,35487744
47,Conv2D,128,19,19,1,7,7,128,19,19,289816576
48,Conv2D,128,19,19,1,1,1,128,19,19,5914624
49,Conv2D,128,19,19,1,7,7,128,19,19,289816576
50,Conv2D,128,19,19,1,1,1,192,19,19,8871936
51,AveragePool2D,768,19,19,1,3,3,768,19,19,0
52,Conv2D,768,19,19,1,1,1,192,19,19,53231616
53,Concat,192,19,19,1,1,1,768,19,19,0
54,Conv2D,768,19,19,1,1,1,192,19,19,53231616
55,Conv2D,768,19,19,1,1,1,160,19,19,44359680
56,Conv2D,160,19,19,1,1,1,160,19,19,9241600
57,Conv2D,160,19,19,1,7,7,192,19,19,543406080
58,Conv2D,768,19,19,1,1,1,160,19,19,44359680
59,Conv2D,160,19,19,1,7,7,160,19,19,452838400
60,Conv2D,160,19,19,1,1,1,160,19,19,9241600
61,Conv2D,160,19,19,1,7,7,160,19,19,452838400
62,Conv2D,160,19,19,1,1,1,192,19,19,11089920
63,AveragePool2D,768,19,19,1,3,3,768,19,19,0
64,Conv2D,768,19,19,1,1,1,192,19,19,53231616
65,Concat,192,19,19,1,1,1,768,19,19,0
66,Conv2D,768,19,19,1,1,1,192,19,19,53231616
67,Conv2D,768,19,19,1,1,1,160,19,19,44359680
68,Conv2D,160,19,19,1,1,1,160,19,19,9241600
69,Conv2D,160,19,19,1,7,7,192,19,19,543406080
70,Conv2D,768,19,19,1,1,1,160,19,19,44359680
71,Conv2D,160,19,19,1,7,7,160,19,19,452838400
72,Conv2D,160,19,19,1,1,1,160,19,19,9241600
73,Conv2D,160,19,19,1,7,7,160,19,19,452838400
74,Conv2D,160,19,19,1,1,1,192,19,19,11089920
75,AveragePool2D,768,19,19,1,3,3,768,19,19,0
76,Conv2D,768,19,19,1,1,1,192,19,19,53231616
77,Concat,192,19,19,1,1,1,768,19,19,0
78,Conv2D,768,19,19,1,1,1,192,19,19,53231616
79,Conv2D,768,19,19,1,1,1,192,19,19,53231616
80,Conv2D,192,19,19,1,1,1,192,19,19,13307904
81,Conv2D,192,19,19,1,7,7,192,19,19,652087296
82,Conv2D,768,19,19,1,1,1,192,19,19,53231616
83,Conv2D,192,19,19,1,7,7,192,19,19,652087296
84,Conv2D,192,19,19,1,1,1,192,19,19,13307904
85,Conv2D,192,19,19,1,7,7,192,19,19,652087296
86,Conv2D,192,19,19,1,1,1,192,19,19,13307904
87,AveragePool2D,768,19,19,1,3,3,768,19,19,0
88,Conv2D,768,19,19,1,1,1,192,19,19,53231616
89,Concat,192,19,19,1,1,1,768,19,19,0
90,Conv2D,768,19,19,1,1,1,192,19,19,53231616
91,Conv2D,192,19,19,2,3,3,320,9,9,44789760
92,Conv2D,768,19,19,1,1,1,192,19,19,53231616
93,Conv2D,192,19,19,1,1,1,192,19,19,13307904
94,Conv2D,192,19,19,1,7,7,192,19,19,652087296
95,Conv2D,192,19,19,2,3,3,192,9,9,26873856
96,MaxPool2D,768,19,19,2,3,3,768,9,9,0
97,Concat,320,9,9,1,1,1,1280,9,9,0
98,Conv2D,1280,9,9,1,1,1,320,9,9,33177600
99,Conv2D,1280,9,9,1,1,1,384,9,9,39813120
100,Conv2D,384,9,9,1,1,1,384,9,9,11943936
101,Conv2D,384,9,9,1,3,3,384,9,9,107495424
102,Concat,384,9,9,1,1,1,768,9,9,0
103,Conv2D,1280,9,9,1,1,1,448,9,9,46448640
104,Conv2D,448,9,9,1,3,3,384,9,9,125411328
105,Conv2D,384,9,9,1,1,1,384,9,9,11943936
106,Conv2D,384,9,9,1,3,3,384,9,9,107495424
107,Concat,384,9,9,1,1,1,768,9,9,0
108,AveragePool2D,1280,9,9,1,3,3,1280,9,9,0
109,Conv2D,1280,9,9,1,1,1,192,9,9,19906560
110,Concat,320,9,9,1,1,1,2048,9,9,0
111,Conv2D,2048,9,9,1,1,1,320,9,9,53084160
112,Conv2D,2048,9,9,1,1,1,384,9,9,63700992
113,Conv2D,384,9,9,1,1,1,384,9,9,11943936
114,Conv2D,384,9,9,1,3,3,384,9,9,107495424
115,Concat,384,9,9,1,1,1,768,9,9,0
116,Conv2D,2048,9,9,1,1,1,448,9,9,74317824
117,Conv2D,448,9,9,1,3,3,384,9,9,125411328
118,Conv2D,384,9,9,1,1,1,384,9,9,11943936
119,Conv2D,384,9,9,1,3,3,384,9,9,107495424
120,Concat,384,9,9,1,1,1,768,9,9,0
121,AveragePool2D,2048,9,9,1,3,3,2048,9,9,0
122,Conv2D,2048,9,9,1,1,1,192,9,9,31850496
123,Concat,320,9,9,1,1,1,2048,9,9,0
124,AveragePool2D,2048,9,9,2,8,8,2048,1,1,0
125,Conv2D,2048,1,1,1,1,1,1001,1,1,2050048
126,Reshape,1001,1,1,1,1,1,1001,1,1,0
127,Softmax,1001,1,1,1,1,1,1001,1,1,0
128,OP_114,1001,1,1,1,1,1,1001,1,1,0
,TOTAL,,,,,,,,,,"12,308,185,600"
