index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,512,512,1,1,1,3,512,512,0
2,Conv2D,3,512,512,2,3,3,16,256,256,28311552
3,HardSwish,16,256,256,1,1,1,16,256,256,0
4,DepthwiseConv2D,16,256,256,1,3,3,16,256,256,9437184
5,Conv2D,16,256,256,1,1,1,16,256,256,16777216
6,Shortcut,16,256,256,1,0,0,16,256,256,1048576
7,Conv2D,16,256,256,1,1,1,64,256,256,67108864
8,DepthwiseConv2D,64,256,256,2,3,3,64,128,128,9437184
9,Conv2D,64,128,128,1,1,1,24,128,128,25165824
10,Conv2D,24,128,128,1,1,1,72,128,128,28311552
11,DepthwiseConv2D,72,128,128,1,3,3,72,128,128,10616832
12,Conv2D,72,128,128,1,1,1,24,128,128,28311552
13,Shortcut,24,128,128,1,0,0,24,128,128,393216
14,Conv2D,24,128,128,1,1,1,72,128,128,28311552
15,DepthwiseConv2D,72,128,128,2,5,5,72,64,64,7372800
16,Mean,72,64,64,1,1,1,72,1,1,0
17,Conv2D,72,1,1,1,1,1,24,1,1,1728
18,Conv2D,24,1,1,1,1,1,72,1,1,1728
19,Mul,72,1,1,1,1,1,72,1,1,0
20,Mul,72,64,64,1,1,1,72,64,64,0
21,Conv2D,72,64,64,1,1,1,40,64,64,11796480
22,Conv2D,40,64,64,1,1,1,120,64,64,19660800
23,DepthwiseConv2D,120,64,64,1,5,5,120,64,64,12288000
24,Mean,120,64,64,1,1,1,120,1,1,0
25,Conv2D,120,1,1,1,1,1,32,1,1,3840
26,Conv2D,32,1,1,1,1,1,120,1,1,3840
27,Mul,120,1,1,1,1,1,120,1,1,0
28,Mul,120,64,64,1,1,1,120,64,64,0
29,Conv2D,120,64,64,1,1,1,40,64,64,19660800
30,Shortcut,40,64,64,1,0,0,40,64,64,163840
31,Conv2D,40,64,64,1,1,1,120,64,64,19660800
32,DepthwiseConv2D,120,64,64,1,5,5,120,64,64,12288000
33,Mean,120,64,64,1,1,1,120,1,1,0
34,Conv2D,120,1,1,1,1,1,32,1,1,3840
35,Conv2D,32,1,1,1,1,1,120,1,1,3840
36,Mul,120,1,1,1,1,1,120,1,1,0
37,Mul,120,64,64,1,1,1,120,64,64,0
38,Conv2D,120,64,64,1,1,1,40,64,64,19660800
39,Shortcut,40,64,64,1,0,0,40,64,64,163840
40,Conv2D,40,64,64,1,1,1,240,64,64,39321600
41,HardSwish,240,64,64,1,1,1,240,64,64,0
42,DepthwiseConv2D,240,64,64,2,3,3,240,32,32,2211840
43,HardSwish,240,32,32,1,1,1,240,32,32,0
44,Conv2D,240,32,32,1,1,1,80,32,32,19660800
45,Conv2D,80,32,32,1,1,1,200,32,32,16384000
46,HardSwish,200,32,32,1,1,1,200,32,32,0
47,DepthwiseConv2D,200,32,32,1,3,3,200,32,32,1843200
48,HardSwish,200,32,32,1,1,1,200,32,32,0
49,Conv2D,200,32,32,1,1,1,80,32,32,16384000
50,Shortcut,80,32,32,1,0,0,80,32,32,81920
51,Conv2D,80,32,32,1,1,1,184,32,32,15073280
52,HardSwish,184,32,32,1,1,1,184,32,32,0
53,DepthwiseConv2D,184,32,32,1,3,3,184,32,32,1695744
54,HardSwish,184,32,32,1,1,1,184,32,32,0
55,Conv2D,184,32,32,1,1,1,80,32,32,15073280
56,Shortcut,80,32,32,1,0,0,80,32,32,81920
57,Conv2D,80,32,32,1,1,1,184,32,32,15073280
58,HardSwish,184,32,32,1,1,1,184,32,32,0
59,DepthwiseConv2D,184,32,32,1,3,3,184,32,32,1695744
60,HardSwish,184,32,32,1,1,1,184,32,32,0
61,Conv2D,184,32,32,1,1,1,80,32,32,15073280
62,Shortcut,80,32,32,1,0,0,80,32,32,81920
