index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,64,200,1,1,1,3,64,200,0
2,Conv2D,3,64,200,1,3,3,32,64,200,11059200
3,Mul,32,64,200,1,1,1,32,64,200,0
4,Add,32,64,200,1,1,1,32,64,200,0
5,Conv2D,32,64,200,1,3,3,32,64,200,117964800
6,Conv2D,32,64,200,1,3,3,32,64,200,117964800
7,Shortcut,32,64,200,1,0,0,32,64,200,409600
8,Mul,32,64,200,1,1,1,32,64,200,0
9,Add,32,64,200,1,1,1,32,64,200,0
10,Conv2D,32,64,200,1,3,3,32,64,200,117964800
11,Conv2D,32,64,200,1,3,3,32,64,200,117964800
12,Shortcut,32,64,200,1,0,0,32,64,200,409600
13,Mul,32,64,200,1,1,1,32,64,200,0
14,Add,32,64,200,1,1,1,32,64,200,0
15,Conv2D,32,64,200,1,3,3,32,64,200,117964800
16,Conv2D,32,64,200,1,3,3,32,64,200,117964800
17,Shortcut,32,64,200,1,0,0,32,64,200,409600
18,Mul,32,64,200,1,1,1,32,64,200,0
19,Add,32,64,200,1,1,1,32,64,200,0
20,Conv2D,32,64,200,2,3,3,64,32,100,58982400
21,Conv2D,64,32,100,1,3,3,64,32,100,117964800
22,Conv2D,32,64,200,2,1,1,64,32,100,6553600
23,Shortcut,64,32,100,1,0,0,64,32,100,204800
24,Mul,64,32,100,1,1,1,64,32,100,0
25,Add,64,32,100,1,1,1,64,32,100,0
26,Conv2D,64,32,100,1,3,3,64,32,100,117964800
27,Conv2D,64,32,100,1,3,3,64,32,100,117964800
28,Shortcut,64,32,100,1,0,0,64,32,100,204800
29,Mul,64,32,100,1,1,1,64,32,100,0
30,Add,64,32,100,1,1,1,64,32,100,0
31,Conv2D,64,32,100,1,3,3,64,32,100,117964800
32,Conv2D,64,32,100,1,3,3,64,32,100,117964800
33,Shortcut,64,32,100,1,0,0,64,32,100,204800
34,Mul,64,32,100,1,1,1,64,32,100,0
35,Add,64,32,100,1,1,1,64,32,100,0
36,Conv2D,64,32,100,1,3,3,64,32,100,117964800
37,Conv2D,64,32,100,1,3,3,64,32,100,117964800
38,Shortcut,64,32,100,1,0,0,64,32,100,204800
39,Mul,64,32,100,1,1,1,64,32,100,0
40,Add,64,32,100,1,1,1,64,32,100,0
41,Conv2D,64,32,100,2,3,3,128,16,50,58982400
42,Conv2D,128,16,50,1,3,3,128,16,50,117964800
43,Conv2D,64,32,100,2,1,1,128,16,50,6553600
44,Shortcut,128,16,50,1,0,0,128,16,50,102400
45,Mul,128,16,50,1,1,1,128,16,50,0
46,Add,128,16,50,1,1,1,128,16,50,0
47,Conv2D,128,16,50,1,3,3,128,16,50,117964800
48,Conv2D,128,16,50,1,3,3,128,16,50,117964800
49,Shortcut,128,16,50,1,0,0,128,16,50,102400
50,Mul,128,16,50,1,1,1,128,16,50,0
51,Add,128,16,50,1,1,1,128,16,50,0
