index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,128,128,1,1,1,3,128,128,0
2,Conv2D,3,128,128,1,3,3,32,128,128,14155776
3,Conv2D,32,128,128,1,3,3,32,128,128,150994944
4,OP_98,32,128,128,1,1,1,32,128,128,0
5,Concat,32,128,128,1,1,1,64,128,128,0
6,Conv2D,64,128,128,1,3,3,32,128,128,301989888
7,OP_98,32,128,128,1,1,1,32,128,128,0
8,Concat,32,128,128,1,1,1,96,128,128,0
9,Conv2D,96,128,128,1,3,3,32,128,128,452984832
10,OP_98,32,128,128,1,1,1,32,128,128,0
11,Concat,32,128,128,1,1,1,128,128,128,0
12,Conv2D,128,128,128,1,3,3,32,128,128,603979776
13,OP_98,32,128,128,1,1,1,32,128,128,0
14,Concat,32,128,128,1,1,1,160,128,128,0
15,Conv2D,160,128,128,1,3,3,32,128,128,754974720
16,OP_98,32,128,128,1,1,1,32,128,128,0
17,Mul,32,128,128,1,1,1,32,128,128,0
18,Shortcut,32,128,128,1,0,0,32,128,128,524288
19,Conv2D,32,128,128,1,3,3,32,128,128,150994944
20,OP_98,32,128,128,1,1,1,32,128,128,0
21,Concat,32,128,128,1,1,1,64,128,128,0
22,Conv2D,64,128,128,1,3,3,32,128,128,301989888
23,OP_98,32,128,128,1,1,1,32,128,128,0
24,Concat,32,128,128,1,1,1,96,128,128,0
25,Conv2D,96,128,128,1,3,3,32,128,128,452984832
26,OP_98,32,128,128,1,1,1,32,128,128,0
27,Concat,32,128,128,1,1,1,128,128,128,0
28,Conv2D,128,128,128,1,3,3,32,128,128,603979776
29,OP_98,32,128,128,1,1,1,32,128,128,0
30,Concat,32,128,128,1,1,1,160,128,128,0
31,Conv2D,160,128,128,1,3,3,32,128,128,754974720
32,OP_98,32,128,128,1,1,1,32,128,128,0
33,Mul,32,128,128,1,1,1,32,128,128,0
34,Shortcut,32,128,128,1,0,0,32,128,128,524288
35,Conv2D,32,128,128,1,3,3,32,128,128,150994944
36,OP_98,32,128,128,1,1,1,32,128,128,0
37,Concat,32,128,128,1,1,1,64,128,128,0
38,Conv2D,64,128,128,1,3,3,32,128,128,301989888
39,OP_98,32,128,128,1,1,1,32,128,128,0
40,Concat,32,128,128,1,1,1,96,128,128,0
41,Conv2D,96,128,128,1,3,3,32,128,128,452984832
42,OP_98,32,128,128,1,1,1,32,128,128,0
43,Concat,32,128,128,1,1,1,128,128,128,0
44,Conv2D,128,128,128,1,3,3,32,128,128,603979776
45,OP_98,32,128,128,1,1,1,32,128,128,0
46,Concat,32,128,128,1,1,1,160,128,128,0
47,Conv2D,160,128,128,1,3,3,32,128,128,754974720
48,OP_98,32,128,128,1,1,1,32,128,128,0
49,Mul,32,128,128,1,1,1,32,128,128,0
50,Shortcut,32,128,128,1,0,0,32,128,128,524288
