index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,1024,1024,1,1,1,3,1024,1024,0
2,SpaceToDepth,3,1024,1024,1,1,1,12,512,512,0
3,Conv2D,12,512,512,1,3,3,32,512,512,905969664
4,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
5,StridedSlice,32,512,512,1,1,1,8,512,512,0
6,StridedSlice,32,512,512,1,1,1,24,512,512,0
7,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
8,StridedSlice,32,512,512,1,1,1,8,512,512,0
9,StridedSlice,32,512,512,1,1,1,24,512,512,0
10,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
11,StridedSlice,32,512,512,1,1,1,8,512,512,0
12,StridedSlice,32,512,512,1,1,1,24,512,512,0
13,Conv2D,24,512,512,1,3,3,8,512,512,452984832
14,Concat,8,512,512,1,1,1,32,512,512,0
15,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
16,Shortcut,32,512,512,1,0,0,32,512,512,8388608
17,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
18,StridedSlice,32,512,512,1,1,1,8,512,512,0
19,StridedSlice,32,512,512,1,1,1,24,512,512,0
20,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
21,StridedSlice,32,512,512,1,1,1,8,512,512,0
22,StridedSlice,32,512,512,1,1,1,24,512,512,0
23,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
24,StridedSlice,32,512,512,1,1,1,8,512,512,0
25,StridedSlice,32,512,512,1,1,1,24,512,512,0
26,Conv2D,24,512,512,1,3,3,8,512,512,452984832
27,Concat,8,512,512,1,1,1,32,512,512,0
28,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
29,Shortcut,32,512,512,1,0,0,32,512,512,8388608
30,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
31,StridedSlice,32,512,512,1,1,1,8,512,512,0
32,StridedSlice,32,512,512,1,1,1,24,512,512,0
33,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
34,StridedSlice,32,512,512,1,1,1,8,512,512,0
35,StridedSlice,32,512,512,1,1,1,24,512,512,0
36,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
37,StridedSlice,32,512,512,1,1,1,8,512,512,0
38,StridedSlice,32,512,512,1,1,1,24,512,512,0
39,Conv2D,24,512,512,1,3,3,8,512,512,452984832
40,Concat,8,512,512,1,1,1,32,512,512,0
41,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
42,Shortcut,32,512,512,1,0,0,32,512,512,8388608
43,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
44,StridedSlice,32,512,512,1,1,1,8,512,512,0
45,StridedSlice,32,512,512,1,1,1,24,512,512,0
46,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
47,StridedSlice,32,512,512,1,1,1,8,512,512,0
48,StridedSlice,32,512,512,1,1,1,24,512,512,0
49,Conv2D,24,512,512,1,3,3,32,512,512,1811939328
50,StridedSlice,32,512,512,1,1,1,8,512,512,0
51,StridedSlice,32,512,512,1,1,1,24,512,512,0
52,Conv2D,24,512,512,1,3,3,8,512,512,452984832
53,Concat,8,512,512,1,1,1,32,512,512,0
54,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
55,Shortcut,32,512,512,1,0,0,32,512,512,8388608
56,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
57,Shortcut,32,512,512,1,0,0,32,512,512,8388608
58,Conv2D,32,512,512,1,3,3,12,512,512,905969664
59,DepthToSpace,12,512,512,1,1,1,3,1024,1024,0
60,OP_114,3,1024,1024,1,1,1,3,1024,1024,0
,TOTAL,,,,,,,,,,"39,904,608,256"
