index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,Reshape,384,1,1,1,1,1,1,1,384,0
2,OP_36,128,1,1,1,1,1,128,384,1,0
3,Reshape,128,384,1,1,1,1,128,1,384,0
4,StridedSlice,128,1,384,1,1,1,128,1,383,0
5,Pad,128,1,383,1,1,1,128,1,384,0
6,StridedSlice,128,1,384,1,1,1,128,1,383,0
7,Pad,128,1,383,1,1,1,128,1,384,0
8,Concat,128,1,384,1,1,1,384,1,384,0
9,FullyConnected,384,1,384,1,1,1,512,1,1,196608
10,OP_53,384,1,1,1,1,1,384,1,1,0
11,OP_114,384,1,1,1,1,1,384,1,1,0
12,Reshape,384,1,1,1,1,1,384,1,1,0
13,Mul,384,1,1,1,1,1,384,1,384,0
14,Reshape,384,1,384,1,1,1,384,1,384,0
15,OP_41,1,1,1,1,1,1,384,1,384,0
16,Mul,384,1,384,1,1,1,384,1,384,0
17,OP_36,512,1,1,1,1,1,512,1,384,0
18,Shortcut,512,1,384,1,0,0,512,1,384,196608
19,Shortcut,512,1,384,1,0,0,512,1,384,196608
20,Add,512,1,384,1,1,1,512,1,384,0
21,FullyConnected,512,1,384,1,1,1,128,1,1,65536
22,Reshape,128,1,1,1,1,1,32,384,4,0
23,Transpose,32,384,4,1,1,1,32,4,384,0
24,FullyConnected,512,1,384,1,1,1,128,1,1,65536
25,FullyConnected,128,1,1,1,1,1,128,1,1,16384
26,Reshape,128,1,1,1,1,1,32,384,4,0
27,Transpose,32,384,4,1,1,1,32,4,384,0
28,FullyConnected,128,1,1,1,1,1,128,1,1,16384
29,Reshape,128,1,1,1,1,1,32,384,4,0
30,Transpose,32,384,4,1,1,1,32,4,384,0
31,Transpose,32,4,384,1,1,1,384,4,32,0
32,Reshape,32,4,384,1,1,1,32,4,384,0
33,OP_49,1,1,1,1,1,1,32,1,384,0
34,Reshape,384,4,32,1,1,1,384,4,32,0
35,OP_49,1,1,1,1,1,1,384,1,32,0
36,Reshape,384,1,32,1,1,1,384,1,1,0
37,Reshape,384,1,32,1,1,1,384,1,1,0
38,Reshape,384,1,32,1,1,1,384,1,1,0
39,Reshape,384,1,32,1,1,1,384,1,1,0
40,Transpose,384,1,1,1,1,1,32,1,1,0
41,FullyConnected,32,1,384,1,1,1,384,1,1,12288
42,Transpose,384,1,1,1,1,1,32,1,1,0
43,FullyConnected,32,1,384,1,1,1,384,1,1,12288
44,Transpose,384,1,1,1,1,1,32,1,1,0
45,FullyConnected,32,1,384,1,1,1,384,1,1,12288
46,Transpose,384,1,1,1,1,1,32,1,1,0
47,FullyConnected,32,1,384,1,1,1,384,1,1,12288
48,OP_83,384,1,1,1,1,1,384,4,384,0
49,Mul,384,4,384,1,1,1,384,4,384,0
50,Reshape,384,4,384,1,1,1,384,4,384,0
51,Mul,384,4,384,1,1,1,384,4,384,0
52,Add,384,4,384,1,1,1,384,4,384,0
53,Softmax,384,4,384,1,1,1,384,4,384,0
54,Reshape,384,4,384,1,1,1,384,4,384,0
55,OP_49,1,1,1,1,1,1,384,1,384,0
56,Reshape,32,4,384,1,1,1,32,4,384,0
57,OP_49,1,1,1,1,1,1,32,1,384,0
58,Reshape,32,1,384,1,1,1,32,1,1,0
59,Reshape,32,1,384,1,1,1,32,1,1,0
60,Reshape,32,1,384,1,1,1,32,1,1,0
61,Reshape,32,1,384,1,1,1,32,1,1,0
62,Transpose,32,1,1,1,1,1,384,1,1,0
63,FullyConnected,384,1,384,1,1,1,32,1,1,12288
64,Transpose,32,1,1,1,1,1,384,1,1,0
65,FullyConnected,384,1,384,1,1,1,32,1,1,12288
66,Transpose,32,1,1,1,1,1,384,1,1,0
67,FullyConnected,384,1,384,1,1,1,32,1,1,12288
68,Transpose,32,1,1,1,1,1,384,1,1,0
69,FullyConnected,384,1,384,1,1,1,32,1,1,12288
70,OP_83,32,1,1,1,1,1,32,4,384,0
71,Reshape,32,4,384,1,1,1,32,4,384,0
72,Transpose,32,4,384,1,1,1,32,384,4,0
73,Reshape,32,384,4,1,1,1,128,1,1,0
74,FullyConnected,128,1,1,1,1,1,128,1,1,16384
75,FullyConnected,512,1,384,1,1,1,128,1,1,65536
76,Add,128,1,1,1,1,1,128,1,1,0
77,Reshape,128,1,1,1,1,1,128,1,384,0
78,Add,128,1,384,1,1,1,128,1,384,0
79,FullyConnected,128,1,384,1,1,1,512,1,1,65536
80,FullyConnected,512,1,384,1,1,1,128,1,1,65536
81,Shortcut,128,1,384,1,0,0,128,1,384,49152
82,Add,128,1,384,1,1,1,128,1,384,0
83,FullyConnected,128,1,384,1,1,1,512,1,1,65536
84,FullyConnected,512,1,384,1,1,1,128,1,1,65536
85,Shortcut,128,1,384,1,0,0,128,1,384,49152
86,Add,128,1,384,1,1,1,128,1,384,0
87,FullyConnected,128,1,384,1,1,1,512,1,1,65536
88,FullyConnected,512,1,384,1,1,1,128,1,1,65536
89,Shortcut,128,1,384,1,0,0,128,1,384,49152
90,Add,128,1,384,1,1,1,128,1,384,0
91,FullyConnected,128,1,384,1,1,1,512,1,1,65536
92,FullyConnected,512,1,384,1,1,1,128,1,1,65536
93,Shortcut,128,1,384,1,0,0,128,1,384,49152
94,FullyConnected,128,1,384,1,1,1,512,1,1,65536
95,Shortcut,512,1,384,1,0,0,512,1,384,196608
96,Add,512,1,384,1,1,1,512,1,384,0
97,FullyConnected,512,1,384,1,1,1,128,1,1,65536
98,Reshape,128,1,1,1,1,1,32,384,4,0
99,Transpose,32,384,4,1,1,1,32,4,384,0
100,FullyConnected,512,1,384,1,1,1,128,1,1,65536
101,FullyConnected,128,1,1,1,1,1,128,1,1,16384
102,Reshape,128,1,1,1,1,1,32,384,4,0
103,Transpose,32,384,4,1,1,1,32,4,384,0
104,FullyConnected,128,1,1,1,1,1,128,1,1,16384
105,Reshape,128,1,1,1,1,1,32,384,4,0
106,Transpose,32,384,4,1,1,1,32,4,384,0
107,Transpose,32,4,384,1,1,1,384,4,32,0
108,Reshape,32,4,384,1,1,1,32,4,384,0
109,OP_49,1,1,1,1,1,1,32,1,384,0
110,Reshape,384,4,32,1,1,1,384,4,32,0
111,OP_49,1,1,1,1,1,1,384,1,32,0
112,Reshape,384,1,32,1,1,1,384,1,1,0
113,Reshape,384,1,32,1,1,1,384,1,1,0
114,Reshape,384,1,32,1,1,1,384,1,1,0
115,Reshape,384,1,32,1,1,1,384,1,1,0
116,Transpose,384,1,1,1,1,1,32,1,1,0
