index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,1024,1536,1,1,1,3,1024,1536,0
2,OP_23,3,1024,1536,1,1,1,3,384,576,0
3,Mul,3,384,576,1,1,1,3,384,576,0
4,Add,3,384,576,1,1,1,3,384,576,0
5,Conv2D,3,384,576,2,3,3,16,192,288,23887872
6,HardSwish,16,192,288,1,1,1,16,192,288,0
7,DepthwiseConv2D,16,192,288,1,3,3,16,192,288,7962624
8,Conv2D,16,192,288,1,1,1,16,192,288,14155776
9,Shortcut,16,192,288,1,0,0,16,192,288,884736
10,Conv2D,16,192,288,1,1,1,64,192,288,56623104
11,Pad,64,192,288,1,1,1,64,193,289,0
12,DepthwiseConv2D,64,193,289,2,3,3,64,96,144,7962624
13,Conv2D,64,96,144,1,1,1,24,96,144,21233664
14,Conv2D,24,96,144,1,1,1,72,96,144,23887872
15,DepthwiseConv2D,72,96,144,1,3,3,72,96,144,8957952
16,Conv2D,72,96,144,1,1,1,24,96,144,23887872
17,Shortcut,24,96,144,1,0,0,24,96,144,331776
18,Conv2D,24,96,144,1,1,1,72,96,144,23887872
19,Pad,72,96,144,1,1,1,72,99,147,0
20,DepthwiseConv2D,72,99,147,2,5,5,72,48,72,6220800
21,Mean,72,48,72,1,1,1,72,1,1,0
22,Conv2D,72,1,1,1,1,1,24,1,1,1728
23,Conv2D,24,1,1,1,1,1,72,1,1,1728
24,Mul,72,1,1,1,1,1,72,1,1,0
25,Mul,72,48,72,1,1,1,72,48,72,0
26,Conv2D,72,48,72,1,1,1,40,48,72,9953280
27,Conv2D,40,48,72,1,1,1,120,48,72,16588800
28,DepthwiseConv2D,120,48,72,1,5,5,120,48,72,10368000
29,Mean,120,48,72,1,1,1,120,1,1,0
30,Conv2D,120,1,1,1,1,1,32,1,1,3840
31,Conv2D,32,1,1,1,1,1,120,1,1,3840
32,Mul,120,1,1,1,1,1,120,1,1,0
33,Mul,120,48,72,1,1,1,120,48,72,0
34,Conv2D,120,48,72,1,1,1,40,48,72,16588800
35,Shortcut,40,48,72,1,0,0,40,48,72,138240
36,Conv2D,40,48,72,1,1,1,120,48,72,16588800
37,DepthwiseConv2D,120,48,72,1,5,5,120,48,72,10368000
38,Mean,120,48,72,1,1,1,120,1,1,0
39,Conv2D,120,1,1,1,1,1,32,1,1,3840
40,Conv2D,32,1,1,1,1,1,120,1,1,3840
41,Mul,120,1,1,1,1,1,120,1,1,0
42,Mul,120,48,72,1,1,1,120,48,72,0
43,Conv2D,120,48,72,1,1,1,40,48,72,16588800
44,Shortcut,40,48,72,1,0,0,40,48,72,138240
45,Conv2D,40,48,72,1,1,1,240,48,72,33177600
46,HardSwish,240,48,72,1,1,1,240,48,72,0
47,Pad,240,48,72,1,1,1,240,49,73,0
48,DepthwiseConv2D,240,49,73,2,3,3,240,24,36,1866240
49,HardSwish,240,24,36,1,1,1,240,24,36,0
50,Conv2D,240,24,36,1,1,1,80,24,36,16588800
51,Conv2D,80,24,36,1,1,1,200,24,36,13824000
52,HardSwish,200,24,36,1,1,1,200,24,36,0
53,DepthwiseConv2D,200,24,36,1,3,3,200,24,36,1555200
54,HardSwish,200,24,36,1,1,1,200,24,36,0
55,Conv2D,200,24,36,1,1,1,80,24,36,13824000
56,Shortcut,80,24,36,1,0,0,80,24,36,69120
57,Conv2D,80,24,36,1,1,1,184,24,36,12718080
58,HardSwish,184,24,36,1,1,1,184,24,36,0
59,DepthwiseConv2D,184,24,36,1,3,3,184,24,36,1430784
60,HardSwish,184,24,36,1,1,1,184,24,36,0
61,Conv2D,184,24,36,1,1,1,80,24,36,12718080
62,Shortcut,80,24,36,1,0,0,80,24,36,69120
63,Conv2D,80,24,36,1,1,1,184,24,36,12718080
64,HardSwish,184,24,36,1,1,1,184,24,36,0
65,DepthwiseConv2D,184,24,36,1,3,3,184,24,36,1430784
66,HardSwish,184,24,36,1,1,1,184,24,36,0
67,Conv2D,184,24,36,1,1,1,80,24,36,12718080
68,Shortcut,80,24,36,1,0,0,80,24,36,69120
69,Conv2D,80,24,36,1,1,1,480,24,36,33177600
70,HardSwish,480,24,36,1,1,1,480,24,36,0
71,DepthwiseConv2D,480,24,36,1,3,3,480,24,36,3732480
72,HardSwish,480,24,36,1,1,1,480,24,36,0
73,Mean,480,24,36,1,1,1,480,1,1,0
74,Conv2D,480,1,1,1,1,1,120,1,1,57600
75,Conv2D,120,1,1,1,1,1,480,1,1,57600
76,Mul,480,1,1,1,1,1,480,1,1,0
77,Mul,480,24,36,1,1,1,480,24,36,0
78,Conv2D,480,24,36,1,1,1,112,24,36,46448640
79,Conv2D,112,24,36,1,1,1,672,24,36,65028096
80,HardSwish,672,24,36,1,1,1,672,24,36,0
81,DepthwiseConv2D,672,24,36,1,3,3,672,24,36,5225472
82,HardSwish,672,24,36,1,1,1,672,24,36,0
83,Mean,672,24,36,1,1,1,672,1,1,0
84,Conv2D,672,1,1,1,1,1,168,1,1,112896
85,Conv2D,168,1,1,1,1,1,672,1,1,112896
86,Mul,672,1,1,1,1,1,672,1,1,0
87,Mul,672,24,36,1,1,1,672,24,36,0
88,Conv2D,672,24,36,1,1,1,112,24,36,65028096
89,Shortcut,112,24,36,1,0,0,112,24,36,96768
90,Conv2D,112,24,36,1,1,1,672,24,36,65028096
91,HardSwish,672,24,36,1,1,1,672,24,36,0
92,Pad,672,24,36,1,1,1,672,27,39,0
93,DepthwiseConv2D,672,27,39,2,5,5,672,12,18,3628800
94,HardSwish,672,12,18,1,1,1,672,12,18,0
95,Mean,672,12,18,1,1,1,672,1,1,0
96,Conv2D,672,1,1,1,1,1,168,1,1,112896
97,Conv2D,168,1,1,1,1,1,672,1,1,112896
98,Mul,672,1,1,1,1,1,672,1,1,0
99,Mul,672,12,18,1,1,1,672,12,18,0
100,Conv2D,672,12,18,1,1,1,160,12,18,23224320
101,Conv2D,160,12,18,1,1,1,960,12,18,33177600
102,HardSwish,960,12,18,1,1,1,960,12,18,0
103,DepthwiseConv2D,960,12,18,1,5,5,960,12,18,5184000
104,HardSwish,960,12,18,1,1,1,960,12,18,0
105,Mean,960,12,18,1,1,1,960,1,1,0
106,Conv2D,960,1,1,1,1,1,240,1,1,230400
107,Conv2D,240,1,1,1,1,1,960,1,1,230400
108,Mul,960,1,1,1,1,1,960,1,1,0
109,Mul,960,12,18,1,1,1,960,12,18,0
110,Conv2D,960,12,18,1,1,1,160,12,18,33177600
111,Shortcut,160,12,18,1,0,0,160,12,18,34560
112,Conv2D,160,12,18,1,1,1,960,12,18,33177600
113,HardSwish,960,12,18,1,1,1,960,12,18,0
114,DepthwiseConv2D,960,12,18,1,5,5,960,12,18,5184000
115,HardSwish,960,12,18,1,1,1,960,12,18,0
116,Mean,960,12,18,1,1,1,960,1,1,0
117,Conv2D,960,1,1,1,1,1,240,1,1,230400
118,Conv2D,240,1,1,1,1,1,960,1,1,230400
119,Mul,960,1,1,1,1,1,960,1,1,0
120,Mul,960,12,18,1,1,1,960,12,18,0
121,Conv2D,960,12,18,1,1,1,160,12,18,33177600
122,Shortcut,160,12,18,1,0,0,160,12,18,34560
123,PReLU,160,12,18,1,1,1,160,12,18,0
124,DepthwiseConv2D,160,12,18,1,3,3,160,12,18,311040
125,Conv2D,160,12,18,1,1,1,128,12,18,4423680
126,OP_97,128,12,18,1,1,1,128,24,36,0
127,Mul,128,24,36,1,1,1,128,24,36,0
128,Add,128,24,36,1,1,1,128,24,36,0
129,Concat,128,24,36,1,1,1,208,24,36,0
130,DepthwiseConv2D,208,24,36,1,3,3,208,24,36,1617408
131,Conv2D,208,24,36,1,1,1,128,24,36,23003136
132,PReLU,128,24,36,1,1,1,128,24,36,0
133,DepthwiseConv2D,128,24,36,1,3,3,128,24,36,995328
134,Conv2D,128,24,36,1,1,1,64,24,36,7077888
135,OP_97,64,24,36,1,1,1,64,48,72,0
136,Mul,64,48,72,1,1,1,64,48,72,0
137,Add,64,48,72,1,1,1,64,48,72,0
138,Concat,64,48,72,1,1,1,104,48,72,0
139,DepthwiseConv2D,104,48,72,1,3,3,104,48,72,3234816
140,Conv2D,104,48,72,1,1,1,64,48,72,23003136
141,PReLU,64,48,72,1,1,1,64,48,72,0
142,Mul,64,48,72,1,1,1,64,48,72,0
143,Add,64,48,72,1,1,1,64,48,72,0
144,Conv2D,64,48,72,1,1,1,32,48,72,7077888
145,PReLU,32,48,72,1,1,1,32,48,72,0
146,DepthwiseConv2D,32,48,72,1,3,3,32,48,72,995328
147,Conv2D,32,48,72,1,1,1,32,48,72,3538944
148,OP_97,32,48,72,1,1,1,32,96,144,0
149,Mul,32,96,144,1,1,1,32,96,144,0
150,Add,32,96,144,1,1,1,32,96,144,0
151,Concat,32,96,144,1,1,1,56,96,144,0
152,DepthwiseConv2D,56,96,144,1,3,3,56,96,144,6967296
153,Conv2D,56,96,144,1,1,1,32,96,144,24772608
154,PReLU,32,96,144,1,1,1,32,96,144,0
155,DepthwiseConv2D,32,96,144,1,3,3,32,96,144,3981312
156,Conv2D,32,96,144,1,1,1,16,96,144,7077888
157,OP_97,16,96,144,1,1,1,16,192,288,0
158,Mul,16,192,288,1,1,1,16,192,288,0
159,Add,16,192,288,1,1,1,16,192,288,0
160,Concat,16,192,288,1,1,1,32,192,288,0
161,DepthwiseConv2D,32,192,288,1,3,3,32,192,288,15925248
162,Conv2D,32,192,288,1,1,1,16,192,288,28311552
163,PReLU,16,192,288,1,1,1,16,192,288,0
164,DepthwiseConv2D,16,192,288,1,3,3,16,192,288,7962624
165,Conv2D,16,192,288,1,1,1,8,192,288,7077888
166,OP_97,8,192,288,1,1,1,8,384,576,0
167,Conv2D,8,384,576,1,1,1,1,384,576,1769472
168,Sigmoid,1,384,576,1,1,1,1,384,576,0
169,OP_114,1,384,576,1,1,1,1,384,576,0
170,Concat,8,384,576,1,1,1,9,384,576,0
171,DepthwiseConv2D,9,384,576,1,3,3,9,384,576,17915904
172,Conv2D,9,384,576,1,1,1,8,384,576,15925248
173,PReLU,8,384,576,1,1,1,8,384,576,0
174,Conv2D,8,384,576,1,1,1,1,384,576,1769472
175,Sigmoid,1,384,576,1,1,1,1,384,576,0
176,OP_23,1,384,576,1,1,1,1,1024,1536,0
177,OP_114,1,1024,1536,1,1,1,1,1024,1536,0
,TOTAL,,,,,,,,,,"1,121,990,784"
