index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,224,224,1,1,1,3,224,224,0
2,Pad,3,224,224,1,1,1,3,230,230,0
3,Conv2D,3,230,230,2,7,7,64,112,112,118013952
4,Pad,64,112,112,1,1,1,64,114,114,0
5,MaxPool2D,64,114,114,2,3,3,64,56,56,0
6,Conv2D,64,56,56,1,1,1,256,56,56,51380224
7,Conv2D,64,56,56,1,1,1,64,56,56,12845056
8,Conv2D,64,56,56,1,3,3,64,56,56,115605504
9,Conv2D,64,56,56,1,1,1,256,56,56,51380224
10,Shortcut,256,56,56,1,0,0,256,56,56,802816
11,Conv2D,256,56,56,1,1,1,64,56,56,51380224
12,Conv2D,64,56,56,1,3,3,64,56,56,115605504
13,Conv2D,64,56,56,1,1,1,256,56,56,51380224
14,Shortcut,256,56,56,1,0,0,256,56,56,802816
15,Conv2D,256,56,56,1,1,1,64,56,56,51380224
16,Conv2D,64,56,56,1,3,3,64,56,56,115605504
17,Conv2D,64,56,56,1,1,1,256,56,56,51380224
18,Shortcut,256,56,56,1,0,0,256,56,56,802816
19,Conv2D,256,56,56,2,1,1,512,28,28,102760448
20,Conv2D,256,56,56,2,1,1,128,28,28,25690112
21,Conv2D,128,28,28,1,3,3,128,28,28,115605504
22,Conv2D,128,28,28,1,1,1,512,28,28,51380224
23,Shortcut,512,28,28,1,0,0,512,28,28,401408
24,Conv2D,512,28,28,1,1,1,128,28,28,51380224
25,Conv2D,128,28,28,1,3,3,128,28,28,115605504
26,Conv2D,128,28,28,1,1,1,512,28,28,51380224
27,Shortcut,512,28,28,1,0,0,512,28,28,401408
28,Conv2D,512,28,28,1,1,1,128,28,28,51380224
29,Conv2D,128,28,28,1,3,3,128,28,28,115605504
30,Conv2D,128,28,28,1,1,1,512,28,28,51380224
31,Shortcut,512,28,28,1,0,0,512,28,28,401408
32,Conv2D,512,28,28,1,1,1,128,28,28,51380224
33,Conv2D,128,28,28,1,3,3,128,28,28,115605504
34,Conv2D,128,28,28,1,1,1,512,28,28,51380224
35,Shortcut,512,28,28,1,0,0,512,28,28,401408
36,Conv2D,512,28,28,2,1,1,1024,14,14,102760448
37,Conv2D,512,28,28,2,1,1,256,14,14,25690112
38,Conv2D,256,14,14,1,3,3,256,14,14,115605504
39,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
40,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
41,Conv2D,1024,14,14,1,1,1,256,14,14,51380224
42,Conv2D,256,14,14,1,3,3,256,14,14,115605504
43,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
44,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
45,Conv2D,1024,14,14,1,1,1,256,14,14,51380224
46,Conv2D,256,14,14,1,3,3,256,14,14,115605504
47,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
48,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
49,Conv2D,1024,14,14,1,1,1,256,14,14,51380224
50,Conv2D,256,14,14,1,3,3,256,14,14,115605504
51,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
52,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
53,Conv2D,1024,14,14,1,1,1,256,14,14,51380224
54,Conv2D,256,14,14,1,3,3,256,14,14,115605504
55,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
56,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
57,Conv2D,1024,14,14,1,1,1,256,14,14,51380224
58,Conv2D,256,14,14,1,3,3,256,14,14,115605504
59,Conv2D,256,14,14,1,1,1,1024,14,14,51380224
60,Shortcut,1024,14,14,1,0,0,1024,14,14,200704
61,Conv2D,1024,14,14,2,1,1,2048,7,7,102760448
62,Conv2D,1024,14,14,2,1,1,512,7,7,25690112
63,Conv2D,512,7,7,1,3,3,512,7,7,115605504
64,Conv2D,512,7,7,1,1,1,2048,7,7,51380224
65,Shortcut,2048,7,7,1,0,0,2048,7,7,100352
66,Conv2D,2048,7,7,1,1,1,512,7,7,51380224
67,Conv2D,512,7,7,1,3,3,512,7,7,115605504
68,Conv2D,512,7,7,1,1,1,2048,7,7,51380224
69,Shortcut,2048,7,7,1,0,0,2048,7,7,100352
70,Conv2D,2048,7,7,1,1,1,512,7,7,51380224
71,Conv2D,512,7,7,1,3,3,512,7,7,115605504
72,Conv2D,512,7,7,1,1,1,2048,7,7,51380224
73,Shortcut,2048,7,7,1,0,0,2048,7,7,100352
74,Mean,2048,7,7,1,1,1,2048,1,1,0
75,FullyConnected,2048,1,1,1,1,1,1000,1,1,2048000
76,Softmax,1000,1,1,1,1,1,1000,1,1,0
77,OP_114,1000,1,1,1,1,1,1000,1,1,0
,TOTAL,,,,,,,,,,"3,863,492,608"
