index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,256,256,1,1,1,3,256,256,0
2,Conv2D,3,256,256,1,3,3,64,256,256,113246208
3,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
4,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
5,Shortcut,64,256,256,1,0,0,64,256,256,4194304
6,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
7,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
8,Shortcut,64,256,256,1,0,0,64,256,256,4194304
9,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
10,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
11,Shortcut,64,256,256,1,0,0,64,256,256,4194304
12,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
13,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
14,Shortcut,64,256,256,1,0,0,64,256,256,4194304
15,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
16,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
17,Shortcut,64,256,256,1,0,0,64,256,256,4194304
18,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
19,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
20,Shortcut,64,256,256,1,0,0,64,256,256,4194304
21,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
22,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
23,Shortcut,64,256,256,1,0,0,64,256,256,4194304
24,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
25,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
26,Shortcut,64,256,256,1,0,0,64,256,256,4194304
27,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
28,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
29,Shortcut,64,256,256,1,0,0,64,256,256,4194304
30,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
31,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
32,Shortcut,64,256,256,1,0,0,64,256,256,4194304
33,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
34,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
35,Shortcut,64,256,256,1,0,0,64,256,256,4194304
36,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
37,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
38,Shortcut,64,256,256,1,0,0,64,256,256,4194304
39,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
40,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
41,Shortcut,64,256,256,1,0,0,64,256,256,4194304
42,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
43,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
44,Shortcut,64,256,256,1,0,0,64,256,256,4194304
45,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
46,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
47,Shortcut,64,256,256,1,0,0,64,256,256,4194304
48,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
49,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
50,Shortcut,64,256,256,1,0,0,64,256,256,4194304
51,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
52,Shortcut,64,256,256,1,0,0,64,256,256,4194304
53,Conv2D,64,256,256,1,3,3,256,256,256,9663676416
54,DepthToSpace,256,256,256,1,1,1,64,512,512,0
55,Conv2D,64,512,512,1,3,3,256,512,512,38654705664
56,DepthToSpace,256,512,512,1,1,1,64,1024,1024,0
57,Conv2D,64,1024,1024,1,1,1,3,1024,1024,201326592
58,Tanh,3,1024,1024,1,1,1,3,1024,1024,0
59,Add,3,1024,1024,1,1,1,3,1024,1024,0
60,Mul,3,1024,1024,1,1,1,3,1024,1024,0
61,OP_114,3,1024,1024,1,1,1,3,1024,1024,0
,TOTAL,,,,,,,,,,"128,429,588,480"
