index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,1024,1024,1,1,1,3,1024,1024,0
2,Conv2D,3,1024,1024,1,3,3,16,1024,1024,452984832
3,Conv2D,16,1024,1024,1,3,3,16,1024,1024,2415919104
4,MaxPool2D,16,1024,1024,2,2,2,16,512,512,0
5,Conv2D,16,512,512,1,3,3,32,512,512,1207959552
6,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
7,MaxPool2D,32,512,512,2,2,2,32,256,256,0
8,Conv2D,32,256,256,1,3,3,64,256,256,1207959552
9,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
10,MaxPool2D,64,256,256,2,2,2,64,128,128,0
11,Conv2D,64,128,128,1,3,3,128,128,128,1207959552
12,Conv2D,128,128,128,1,3,3,128,128,128,2415919104
13,MaxPool2D,128,128,128,2,2,2,128,64,64,0
14,Conv2D,128,64,64,1,3,3,256,64,64,1207959552
15,Conv2D,256,64,64,1,3,3,256,64,64,2415919104
16,OP_67,4,1,1,1,1,1,128,128,128,0
17,Concat,128,128,128,1,1,1,256,128,128,0
18,Conv2D,256,128,128,1,3,3,128,128,128,4831838208
19,Conv2D,128,128,128,1,3,3,128,128,128,2415919104
20,OP_67,4,1,1,1,1,1,64,256,256,0
21,Concat,64,256,256,1,1,1,128,256,256,0
22,Conv2D,128,256,256,1,3,3,64,256,256,4831838208
23,Conv2D,64,256,256,1,3,3,64,256,256,2415919104
24,OP_67,4,1,1,1,1,1,32,512,512,0
25,Concat,32,512,512,1,1,1,64,512,512,0
26,Conv2D,64,512,512,1,3,3,32,512,512,4831838208
27,Conv2D,32,512,512,1,3,3,32,512,512,2415919104
28,OP_67,4,1,1,1,1,1,16,1024,1024,0
29,Concat,16,1024,1024,1,1,1,32,1024,1024,0
30,Conv2D,32,1024,1024,1,3,3,16,1024,1024,4831838208
31,Conv2D,16,1024,1024,1,3,3,16,1024,1024,2415919104
32,Conv2D,16,1024,1024,1,1,1,3,1024,1024,50331648
33,OP_114,3,1024,1024,1,1,1,3,1024,1024,0
,TOTAL,,,,,,,,,,"46,405,779,456"
