index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,Conv2D,3,224,224,1,3,3,64,224,224,86704128
2,Conv2D,64,224,224,1,3,3,64,224,224,1849688064
3,MaxPool2D,64,224,224,2,2,2,64,112,112,0
4,Conv2D,64,112,112,1,3,3,128,112,112,924844032
5,Conv2D,128,112,112,1,3,3,128,112,112,1849688064
6,MaxPool2D,128,112,112,2,2,2,128,56,56,0
7,Conv2D,128,56,56,1,3,3,256,56,56,924844032
8,Conv2D,256,56,56,1,3,3,256,56,56,1849688064
9,Conv2D,256,56,56,1,3,3,256,56,56,1849688064
10,MaxPool2D,256,56,56,2,2,2,256,28,28,0
11,Conv2D,256,28,28,1,3,3,512,28,28,924844032
12,Conv2D,512,28,28,1,3,3,512,28,28,1849688064
13,Conv2D,512,28,28,1,3,3,512,28,28,1849688064
14,MaxPool2D,512,28,28,2,2,2,512,14,14,0
15,Conv2D,512,14,14,1,3,3,512,14,14,462422016
16,Conv2D,512,14,14,1,3,3,512,14,14,462422016
17,Conv2D,512,14,14,1,3,3,512,14,14,462422016
18,MaxPool2D,512,14,14,2,2,2,512,7,7,0
19,Reshape,512,7,7,1,1,1,25088,1,1,0
20,FullyConnected,25088,1,1,1,1,1,4096,1,1,102760448
21,FullyConnected,4096,1,1,1,1,1,4096,1,1,16777216
22,FullyConnected,4096,1,1,1,1,1,1000,1,1,4096000
23,Softmax,1000,1,1,1,1,1,1000,1,1,0
,TOTAL,,,,,,,,,,"15,470,264,320"
