index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,Conv2D,1,193,193,2,3,3,8,96,96,663552
2,Conv2D,8,96,96,1,1,1,8,96,96,589824
3,DepthwiseConv2D,8,96,96,1,3,3,8,96,96,663552
4,Conv2D,8,96,96,1,1,1,4,96,96,294912
5,Conv2D,4,96,96,1,1,1,8,96,96,294912
6,DepthwiseConv2D,8,96,96,1,3,3,8,96,96,663552
7,Conv2D,8,96,96,1,1,1,4,96,96,294912
8,Shortcut,4,96,96,1,0,0,4,96,96,36864
9,Conv2D,4,96,96,1,1,1,24,96,96,884736
10,DepthwiseConv2D,24,97,97,2,3,3,24,48,48,497664
11,Conv2D,24,48,48,1,1,1,8,48,48,442368
12,Conv2D,8,48,48,1,1,1,32,48,48,589824
13,DepthwiseConv2D,32,48,48,1,3,3,32,48,48,663552
14,Conv2D,32,48,48,1,1,1,8,48,48,589824
15,Shortcut,8,48,48,1,0,0,8,48,48,18432
16,Conv2D,8,48,48,1,1,1,32,48,48,589824
17,DepthwiseConv2D,32,48,48,1,3,3,32,48,48,663552
18,Conv2D,32,48,48,1,1,1,8,48,48,589824
19,Shortcut,8,48,48,1,0,0,8,48,48,18432
20,Conv2D,8,48,48,1,1,1,32,48,48,589824
21,DepthwiseConv2D,32,49,49,2,3,3,32,24,24,165888
22,Conv2D,32,24,24,1,1,1,8,24,24,147456
23,Conv2D,8,24,24,1,1,1,48,24,24,221184
24,DepthwiseConv2D,48,24,24,1,3,3,48,24,24,248832
25,Conv2D,48,24,24,1,1,1,8,24,24,221184
26,Shortcut,8,24,24,1,0,0,8,24,24,4608
27,Conv2D,8,24,24,1,1,1,48,24,24,221184
28,DepthwiseConv2D,48,24,24,1,3,3,48,24,24,248832
29,Conv2D,48,24,24,1,1,1,8,24,24,221184
30,Shortcut,8,24,24,1,0,0,8,24,24,4608
31,Conv2D,8,24,24,1,1,1,48,24,24,221184
32,DepthwiseConv2D,48,24,24,1,3,3,48,24,24,248832
33,Conv2D,48,24,24,1,1,1,16,24,24,442368
34,Conv2D,16,24,24,1,1,1,96,24,24,884736
35,DepthwiseConv2D,96,24,24,1,3,3,96,24,24,497664
36,Conv2D,96,24,24,1,1,1,16,24,24,884736
37,Shortcut,16,24,24,1,0,0,16,24,24,9216
38,Conv2D,16,24,24,1,1,1,96,24,24,884736
39,DepthwiseConv2D,96,24,24,1,3,3,96,24,24,497664
40,Conv2D,96,24,24,1,1,1,16,24,24,884736
41,Shortcut,16,24,24,1,0,0,16,24,24,9216
42,Conv2D,16,24,24,1,1,1,96,24,24,884736
43,DepthwiseConv2D,96,24,24,1,3,3,96,24,24,497664
44,Conv2D,96,24,24,1,1,1,16,24,24,884736
45,Shortcut,16,24,24,1,0,0,16,24,24,9216
46,Conv2D,16,24,24,1,1,1,96,24,24,884736
47,DepthwiseConv2D,96,24,24,1,3,3,96,24,24,497664
48,Conv2D,96,24,24,1,1,1,16,24,24,884736
49,Shortcut,16,24,24,1,0,0,16,24,24,9216
50,Conv2D,16,24,24,1,1,1,96,24,24,884736
51,DepthwiseConv2D,96,25,25,2,3,3,96,12,12,124416
52,Conv2D,96,12,12,1,1,1,24,12,12,331776
53,Conv2D,24,12,12,1,1,1,136,12,12,470016
54,DepthwiseConv2D,136,12,12,1,3,3,136,12,12,176256
55,Conv2D,136,12,12,1,1,1,24,12,12,470016
56,Shortcut,24,12,12,1,0,0,24,12,12,3456
57,Conv2D,24,12,12,1,1,1,136,12,12,470016
58,DepthwiseConv2D,136,12,12,1,3,3,136,12,12,176256
59,Conv2D,136,12,12,1,1,1,24,12,12,470016
60,Shortcut,24,12,12,1,0,0,24,12,12,3456
61,Conv2D,24,12,12,1,1,1,136,12,12,470016
62,DepthwiseConv2D,136,12,12,1,3,3,136,12,12,176256
63,Conv2D,136,12,12,1,1,1,24,12,12,470016
64,Shortcut,24,12,12,1,0,0,24,12,12,3456
65,Conv2D,24,12,12,1,1,1,136,12,12,470016
66,DepthwiseConv2D,136,12,12,1,3,3,136,12,12,176256
67,Conv2D,136,12,12,1,1,1,24,12,12,470016
68,Shortcut,24,12,12,1,0,0,24,12,12,3456
69,Conv2D,24,12,12,1,1,1,136,12,12,470016
70,DepthwiseConv2D,136,13,13,2,3,3,136,6,6,44064
71,Conv2D,136,6,6,1,1,1,48,6,6,235008
72,Conv2D,48,6,6,1,1,1,224,6,6,387072
73,DepthwiseConv2D,224,6,6,1,3,3,224,6,6,72576
74,Conv2D,224,6,6,1,1,1,48,6,6,387072
75,Shortcut,48,6,6,1,0,0,48,6,6,1728
76,Conv2D,48,6,6,1,1,1,224,6,6,387072
77,DepthwiseConv2D,224,6,6,1,3,3,224,6,6,72576
78,Conv2D,224,6,6,1,1,1,48,6,6,387072
79,Shortcut,48,6,6,1,0,0,48,6,6,1728
80,Conv2D,48,6,6,1,1,1,224,6,6,387072
81,DepthwiseConv2D,224,6,6,1,3,3,224,6,6,72576
82,Conv2D,224,6,6,1,1,1,48,6,6,387072
83,Shortcut,48,6,6,1,0,0,48,6,6,1728
84,Conv2D,48,6,6,1,1,1,224,6,6,387072
85,DepthwiseConv2D,224,6,6,1,3,3,224,6,6,72576
86,Conv2D,224,6,6,1,1,1,48,6,6,387072
87,Shortcut,48,6,6,1,0,0,48,6,6,1728
88,Conv2D,48,6,6,1,1,1,224,6,6,387072
89,DepthwiseConv2D,224,6,6,1,3,3,224,6,6,72576
90,Conv2D,224,6,6,1,1,1,48,6,6,387072
91,Shortcut,48,6,6,1,0,0,48,6,6,1728
92,Conv2D,192,6,6,1,1,1,96,6,6,663552
93,DepthwiseConv2D,96,6,6,1,5,5,96,6,6,86400
94,Conv2D,96,6,6,1,1,1,96,6,6,331776
95,DepthwiseConv2D,96,6,6,1,5,5,96,6,6,86400
96,Conv2D,96,6,6,1,1,1,96,6,6,331776
97,Conv2D,96,6,6,1,1,1,18,6,6,62208
98,DepthwiseConv2D,120,12,12,1,5,5,120,12,12,432000
99,Conv2D,120,12,12,1,1,1,120,12,12,2073600
100,DepthwiseConv2D,120,12,12,1,5,5,120,12,12,432000
101,Conv2D,120,12,12,1,1,1,120,12,12,2073600
102,Conv2D,120,12,12,1,1,1,18,12,12,311040
,TOTAL,,,,,,,,,,"39,058,272"
