index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,Pad,3,416,416,1,1,1,3,417,417,0
2,Conv2D,3,417,417,2,3,3,32,208,208,37380096
3,PReLU,32,208,208,1,1,1,32,208,208,0
4,Pad,32,208,208,1,1,1,32,209,209,0
5,Conv2D,32,209,209,2,3,3,64,104,104,199360512
6,PReLU,64,104,104,1,1,1,64,104,104,0
7,Conv2D,64,104,104,1,3,3,64,104,104,398721024
8,PReLU,64,104,104,1,1,1,64,104,104,0
9,StridedSlice,64,104,104,1,1,1,32,104,104,0
10,Conv2D,32,104,104,1,3,3,32,104,104,99680256
11,PReLU,32,104,104,1,1,1,32,104,104,0
12,Conv2D,32,104,104,1,3,3,32,104,104,99680256
13,PReLU,32,104,104,1,1,1,32,104,104,0
14,Concat,32,104,104,1,1,1,64,104,104,0
15,Conv2D,64,104,104,1,1,1,64,104,104,44302336
16,PReLU,64,104,104,1,1,1,64,104,104,0
17,Concat,64,104,104,1,1,1,128,104,104,0
18,MaxPool2D,128,104,104,2,2,2,128,52,52,0
19,Conv2D,128,52,52,1,3,3,128,52,52,398721024
20,PReLU,128,52,52,1,1,1,128,52,52,0
21,StridedSlice,128,52,52,1,1,1,64,52,52,0
22,Conv2D,64,52,52,1,3,3,64,52,52,99680256
23,PReLU,64,52,52,1,1,1,64,52,52,0
24,Conv2D,64,52,52,1,3,3,64,52,52,99680256
25,PReLU,64,52,52,1,1,1,64,52,52,0
26,Concat,64,52,52,1,1,1,128,52,52,0
27,Conv2D,128,52,52,1,1,1,128,52,52,44302336
28,PReLU,128,52,52,1,1,1,128,52,52,0
29,Concat,128,52,52,1,1,1,256,52,52,0
30,MaxPool2D,256,52,52,2,2,2,256,26,26,0
31,Conv2D,256,26,26,1,3,3,256,26,26,398721024
32,PReLU,256,26,26,1,1,1,256,26,26,0
33,StridedSlice,256,26,26,1,1,1,128,26,26,0
34,Conv2D,128,26,26,1,3,3,128,26,26,99680256
35,PReLU,128,26,26,1,1,1,128,26,26,0
36,Conv2D,128,26,26,1,3,3,128,26,26,99680256
37,PReLU,128,26,26,1,1,1,128,26,26,0
38,Concat,128,26,26,1,1,1,256,26,26,0
39,Conv2D,256,26,26,1,1,1,256,26,26,44302336
40,PReLU,256,26,26,1,1,1,256,26,26,0
41,Concat,256,26,26,1,1,1,512,26,26,0
42,MaxPool2D,512,26,26,2,2,2,512,13,13,0
43,Conv2D,512,13,13,1,3,3,512,13,13,398721024
44,PReLU,512,13,13,1,1,1,512,13,13,0
45,Conv2D,512,13,13,1,1,1,256,13,13,22151168
46,PReLU,256,13,13,1,1,1,256,13,13,0
47,Conv2D,256,13,13,1,3,3,512,13,13,199360512
48,PReLU,512,13,13,1,1,1,512,13,13,0
49,Conv2D,512,13,13,1,1,1,255,13,13,22064640
50,StridedSlice,255,13,13,1,1,1,2,13,13,0
51,Sigmoid,2,13,13,1,1,1,2,13,13,0
52,Mul,2,13,13,1,1,1,2,13,13,0
53,OP_41,2,13,13,1,1,1,2,13,13,0
54,Shortcut,2,13,13,1,0,0,2,13,13,338
55,Mul,2,13,13,1,1,1,2,13,13,0
56,Reshape,2,13,13,1,1,1,2,1,1,0
57,StridedSlice,255,13,13,1,1,1,2,13,13,0
58,OP_6,2,13,13,1,1,1,2,13,13,0
59,OP_47,2,13,13,1,1,1,2,13,13,0
60,Mul,2,13,13,1,1,1,2,13,13,0
61,OP_114,2,13,13,1,1,1,2,13,13,0
62,Reshape,2,13,13,1,1,1,2,1,1,0
63,StridedSlice,255,13,13,1,1,1,81,13,13,0
64,Sigmoid,81,13,13,1,1,1,81,13,13,0
65,StridedSlice,81,13,13,1,1,1,1,13,13,0
66,StridedSlice,81,13,13,1,1,1,80,13,13,0
67,Mul,1,13,13,1,1,1,80,13,13,0
68,Reshape,80,13,13,1,1,1,80,1,1,0
69,StridedSlice,255,13,13,1,1,1,2,13,13,0
70,Sigmoid,2,13,13,1,1,1,2,13,13,0
71,Mul,2,13,13,1,1,1,2,13,13,0
72,OP_41,2,13,13,1,1,1,2,13,13,0
73,Shortcut,2,13,13,1,0,0,2,13,13,338
74,Mul,2,13,13,1,1,1,2,13,13,0
75,Reshape,2,13,13,1,1,1,2,1,1,0
76,StridedSlice,255,13,13,1,1,1,2,13,13,0
77,OP_6,2,13,13,1,1,1,2,13,13,0
78,OP_47,2,13,13,1,1,1,2,13,13,0
79,Mul,2,13,13,1,1,1,2,13,13,0
80,OP_114,2,13,13,1,1,1,2,13,13,0
81,Reshape,2,13,13,1,1,1,2,1,1,0
82,StridedSlice,255,13,13,1,1,1,81,13,13,0
83,Sigmoid,81,13,13,1,1,1,81,13,13,0
84,StridedSlice,81,13,13,1,1,1,1,13,13,0
85,StridedSlice,81,13,13,1,1,1,80,13,13,0
86,Mul,1,13,13,1,1,1,80,13,13,0
87,Reshape,80,13,13,1,1,1,80,1,1,0
88,StridedSlice,255,13,13,1,1,1,2,13,13,0
89,Sigmoid,2,13,13,1,1,1,2,13,13,0
90,Mul,2,13,13,1,1,1,2,13,13,0
91,OP_41,2,13,13,1,1,1,2,13,13,0
92,Shortcut,2,13,13,1,0,0,2,13,13,338
93,Mul,2,13,13,1,1,1,2,13,13,0
94,Reshape,2,13,13,1,1,1,2,1,1,0
95,Concat,2,1,1,1,1,1,2,1,1,0
96,StridedSlice,255,13,13,1,1,1,2,13,13,0
97,OP_6,2,13,13,1,1,1,2,13,13,0
98,OP_47,2,13,13,1,1,1,2,13,13,0
99,Mul,2,13,13,1,1,1,2,13,13,0
100,OP_114,2,13,13,1,1,1,2,13,13,0
101,Reshape,2,13,13,1,1,1,2,1,1,0
